,Name,Country,GamesPlayed,Goals,Assists,Points,PlusMinus,ShotsOnGoal,GameWinningGoals,ShootingPercentage,AvgPlusMinus,in_HOF
1414,"Prentice, Dean",Canada,455,126,146,272,-33,1116,13,0.11290322580645200,-0.07252747252747250,0
1416,"Preston, Rich",Canada,580,127,164,291,-35,975,14,0.13025641025641000,-0.0603448275862069,0
1417,"Priestlay, Ken",Canada,168,27,34,61,-5,220,1,0.12272727272727300,-0.02976190476190480,0
1418,"Primeau, Keith",Canada,909,266,353,619,124,1699,40,0.15656268393172500,0.13641364136413600,0
1419,"Primeau, Wayne",Canada,774,69,125,194,-95,885,8,0.07796610169491530,-0.1227390180878550,0
1420,"Probert, Bob",Canada,935,163,221,384,-30,1109,23,0.14697926059513100,-0.03208556149732620,0
1422,"Pronger, Sean",Canada,260,23,36,59,-40,238,4,0.09663865546218490,-0.15384615384615400,0
1423,"Pronovost, Jean",Canada,998,391,383,774,49,2783,57,0.14049586776859500,0.04909819639278560,0
1424,"Propp, Brian",Canada,1016,425,579,1004,310,3111,59,0.1366120218579240,0.3051181102362210,0
1426,"Provost, Claude",Canada,211,37,56,93,41,474,9,0.07805907172995780,0.1943127962085310,0
1428,"Prust, Brandon",Canada,279,24,39,63,3,223,7,0.10762331838565000,0.010752688172043000,0
1429,"Pulford, Bob",Canada,352,79,122,201,-80,975,7,0.08102564102564100,-0.22727272727272700,1
1430,"Purcell, Teddy",Canada,272,52,98,150,3,527,6,0.09867172675521820,0.011029411764705900,0
1431,"Pyatt, Nelson",Canada,296,71,63,134,-136,490,5,0.14489795918367300,-0.4594594594594600,0
1432,"Pyatt, Taylor",Canada,755,130,134,264,5,1191,24,0.109151973131822,0.006622516556291390,0
1433,"Pyatt, Tom",Canada,175,16,15,31,-25,208,1,0.07692307692307690,-0.14285714285714300,0
1434,"Quinn, Dan",Canada,805,266,419,685,-125,1775,37,0.14985915492957700,-0.15527950310559000,0
1437,"Raglan, Herb",Canada,343,33,56,89,-33,396,4,0.08333333333333330,-0.09620991253644320,0
1438,"Ramsay, Craig",Canada,1070,252,420,672,328,1614,32,0.15613382899628300,0.30654205607476600,0
1441,"Ratelle, Jean",Canada,1022,433,695,1128,299,2481,60,0.17452640064490100,0.2925636007827790,1
